oranges | Oranges | Fareway | Navel Orange | 1.4975/lb
sandwich-bags | Sandwich Bags | Walmart | Great Value Double Zipper Sandwich Bags | 0.0228/each
sandwich-bags | Sandwich Bags | Hy-Vee | That's Smart! Recloseable Sandwich Bags | 0.0286/each
sandwich-bags | Sandwich Bags | Fareway | Bright Essentials Sandwich Bags, Double Zipper, Sandwich Size | 0.0456/each
sandwich-cookies | Sandwich Cookies | Aldi | Benton's Vanilla Sandwich Creme Cookies | 0.11/oz
sandwich-cookies | Sandwich Cookies | Walmart | Great Value Assorted Flavor Sandwich Cookies | 0.1112/oz
sandwich-cookies | Sandwich Cookies | Fareway | Fareway Vanilla Cremes Sandwich Cookies | 0.1112/oz
sandwich-cookies | Sandwich Cookies | Family Fare | Oreo Sandwich Cookies, Chocolate, Double Stuff, Family Size 20 Oz | 0.2745/oz
sandwich-cookies | Sandwich Cookies | Hy-Vee | Keebler Vienna Fingers Vanilla Fudge Creme Sandwich Cookies | 0.3325/oz
shampoo | Shampoo | Walmart | Suave Essentials Daily Clarifying Shampoo | 0.0862/floz
shampoo | Shampoo | Fareway | Suave Tropical Coconut Nourishing Shampoo with Coconut Extract & Vitamin E, Gently Cleanses, Softens & Smooths For All Hair Types, 22.5 FL OZ | 0.0876/floz
shampoo | Shampoo | Hy-Vee | Dove Nutritive Solutions Intensive Repair Shampoo | 0.4158/floz
shampoo | Shampoo | Aldi | Pantene Pro-V Daily Moisture Renewal Shampoo | 0.4775/floz
shaving-cream | Shaving Cream | Walmart | Barbasol Original Thick & Rich Shaving Cream | 0.197/oz
shaving-cream | Shaving Cream | Fareway | Barbasol Thick & Rich Soothing Aloe Shaving Cream | 0.299/oz
shaving-cream | Shaving Cream | Hy-Vee | Pure Silk Spa Therapy Sensitive Skin Shave Cream | 0.3131/oz
shower-cleaner | Shower / Bathroom Cleaner | Aldi | Power Force Bathroom Cleaner 32 fl oz | 0.0841/floz
shower-cleaner | Shower / Bathroom Cleaner | Walmart | Scrub Free Total Bathroom Cleaner with OxiClean, Lemon Scent, 32 fl oz | 0.0928/floz
shower-cleaner | Shower / Bathroom Cleaner | Hy-Vee | Clean Shower Daily Shower Cleaner Refill, Fresh Clean Scent 60 fl oz | 0.0998/floz
shower-cleaner | Shower / Bathroom Cleaner | Sam's Club | Scrubbing Bubbles Flowers & Showers Bathroom Grime Fighter Spray, 32 oz., 3 pk. | 0.1035/floz
shower-cleaner | Shower / Bathroom Cleaner | Family Fare | Lysol Mango & Hibiscus Bathroom Cleaner 32 Fl Oz | 0.1059/floz
shower-cleaner | Shower / Bathroom Cleaner | Fareway | Bright Essentials Bathroom Cleaner, Lime Scent 32 fl oz | 0.1244/floz
shower-cleaner | Shower / Bathroom Cleaner | Baker's | Clorox Plus Tilex Daily Shower Cleaner 32 fl oz | 0.1403/floz
shredded-cheese | Shredded / Block Cheese | Family Fare | Our Family Natural Finely Cut Mozzarella Shredded Cheese 8 Oz | 0.2158/oz
