frosting | Frosting | Fareway | Pillsbury Creamy Supreme Vanilla Frosting, 16 Oz Tub | 0.1244/oz
frosting | Frosting | Hy-Vee | Pillsbury Creamy Supreme Vanilla Frosting | 0.1244/oz
breakfast-sandwiches | Frozen Breakfast Sandwiches | Walmart | Great Value Croissant Sandwiches Sausage Egg and Cheese | 1.445/each
breakfast-sandwiches | Frozen Breakfast Sandwiches | Hy-Vee | Hy-Vee breakfast sandwiches, 4 ct., $5.99 | 1.4975/each
breakfast-sandwiches | Frozen Breakfast Sandwiches | Fareway | Jimmy Dean Croissant Breakfast Sandwiches with Sausage, Egg, and Cheese, Frozen, 4 Count | 1.8225/each
frozen-broccoli | Frozen Broccoli | Walmart | Great Value Frozen Cut Broccoli | 0.0588/oz
frozen-broccoli | Frozen Broccoli | Hy-Vee | That's Smart! Broccoli Cuts 12 oz | 0.0817/oz
frozen-broccoli | Frozen Broccoli | Aldi | Season's Choice Steamable Frozen Broccoli Florets | 0.0958/oz
frozen-broccoli | Frozen Broccoli | Family Fare | Frozen Broccoli Florets Our Family Steamable | 0.1408/oz
frozen-broccoli | Frozen Broccoli | Fareway | Birds Eye Baby Broccoli Florets, Frozen Vegetables | 0.1579/oz
frozen-burritos | Frozen Burritos | Aldi | Casa Mamita Bean and Cheese Burritos | 0.4738/each
frozen-burritos | Frozen Burritos | Walmart | Tina's Big Burrito Beef & Bean | 1/each
frozen-burritos | Frozen Burritos | Fareway | Tina's Big Burrito Beef & Bean Green Chili, Quick Meal | 1.67/each
chicken-nuggets | Frozen Chicken Nuggets | Aldi | Kirkwood Family Pack Chicken Nuggets | 0.1373/oz
chicken-nuggets | Frozen Chicken Nuggets | Walmart | Great Value Fully Cooked Chicken Nuggets | 0.1866/oz
chicken-nuggets | Frozen Chicken Nuggets | Baker's | Kroger Frozen Fully Cooked Crispy Chicken Nuggets | 0.2066/oz
chicken-nuggets | Frozen Chicken Nuggets | Fareway | Tyson Frozen Chicken Nuggets Family Pack, 4-Pound | 0.2178/oz
chicken-nuggets | Frozen Chicken Nuggets | Family Fare | Tyson Frozen Chicken Nuggets 29 Oz | 0.2721/oz
chicken-nuggets | Frozen Chicken Nuggets | Hy-Vee | Hy-Vee Chicken Nuggets | 0.2852/oz
frozen-corn | Frozen Corn | Walmart | Great Value Frozen Whole Kernel Golden Corn | 0.0612/oz
frozen-corn | Frozen Corn | Aldi | Season's Choice Steamable Super Sweet Corn | 0.0808/oz
frozen-corn | Frozen Corn | Hy-Vee | That's Smart! Cut Golden Corn | 0.0817/oz
frozen-corn | Frozen Corn | Fareway | Fareway Steamables Cut Corn | 0.12/oz
frozen-corn | Frozen Corn | Family Fare | Our Family Sweet Corn, Super, Steamable 10 Oz | 0.139/oz
frozen-fries | Frozen French Fries | Aldi | Season's Choice Crinkle Cut French Fried Potatoes | 0.0903/oz
frozen-fries | Frozen French Fries | Walmart | Great Value Crinkle Cut French Fried Potatoes | 0.0928/oz
frozen-fries | Frozen French Fries | Fareway | Fareway Crinkle Fries | 0.0934/oz
frozen-fries | Frozen French Fries | Baker's | Kroger Frozen French Fries | 0.1028/oz
frozen-fries | Frozen French Fries | Hy-Vee | Hy-Vee Straight Cut French Fried Potatoes | 0.1088/oz
frozen-fries | Frozen French Fries | Family Fare | Our Family Fries, Crinkle Cut 32 Oz | 0.1184/oz
frozen-fruit | Frozen Fruit / Berries | Aldi | Season's Choice Cherry Berry Blend | 0.1352/oz
frozen-fruit | Frozen Fruit / Berries | Walmart | Great Value Frozen Whole Berry Medley | 0.22/oz
frozen-fruit | Frozen Fruit / Berries | Fareway | Fareway Unsweetened Whole Strawberries | 0.2806/oz
frozen-fruit | Frozen Fruit / Berries | Hy-Vee | Hy-Vee Berry Medley Unsweetened | 0.4992/oz
hash-browns | Frozen Hash Browns | Aldi | Season's Choice Shredded Hash Browns | 0.123/oz
hash-browns | Frozen Hash Browns | Walmart | Great Value Shredded Hash Browns | 0.1315/oz
hash-browns | Frozen Hash Browns | Fareway | Simply Potatoes Shredded Hash Browns Potatoes | 0.149/oz
hash-browns | Frozen Hash Browns | Hy-Vee | Mr. Dee's Shredded Hash Brown Potatoes | 0.1538/oz
frozen-lasagna | Frozen Lasagna | Aldi | Bremer Lasagna with Meat Sauce | 0.1576/oz
