orange-juice | Orange Juice | Fareway | Fareway Orange Juice, from Concentrate | 0.0623/floz
orange-juice | Orange Juice | Baker's | Kroger 100% Orange Juice Pulp Free 1 Gal | 0.0687/floz
orange-juice | Orange Juice | Aldi | Nature's Nectar Premium Orange Juice | 0.0721/floz
orange-juice | Orange Juice | Walmart | Great Value 100% Orange Juice, No Pulp, 52 fl oz | 0.0762/floz
orange-juice | Orange Juice | Hy-Vee | Hy-Vee 100% Orange Juice | 0.078/floz
orange-juice | Orange Juice | Family Fare | Tropicana Pure Premium No Pulp Orange Juice 89 Fl Oz | 0.1066/floz
oranges | Oranges | Aldi | Navel Oranges, Bag | 1.0975/lb
oranges | Oranges | Baker's | Kroger Fresh Navel Oranges Bag | 1.1238/lb
oranges | Oranges | Walmart | Fresh Navel Oranges 4-Pound Bag | 1.2425/lb
oranges | Oranges | Hy-Vee | Kings River Navels Premium Oranges | 1.2475/lb
